date,ref,outcome,company,keyword,url
2024-02-21,A23-1209404,Upheld,Ford Motor Company Ltd,environmental,https://www.asa.org.uk/rulings/ford-motor-company-ltd-a23-1209404-ford-motor-company-ltd.html
2024-02-07,A23-1209400,Upheld,BMW (UK) Ltd,environmental,https://www.asa.org.uk/rulings/bmw--uk--ltd-a23-1209400-bmw--uk--ltd.html
2024-02-07,A23-1209401,Upheld,MG Motor UK Ltd,environmental,https://www.asa.org.uk/rulings/mg-motor-uk-ltd-a23-1209401-mg-motor-uk-ltd.html
2024-02-07,G23-1183539,Upheld,Transport For London,environmental,https://www.asa.org.uk/rulings/transport-for-london-g23-1183539-transport-for-london.html
2024-02-07,G23-1202588,Upheld,Greater London Authority,environmental,https://www.asa.org.uk/rulings/greater-london-authority-g23-1202588-greater-london-authority.html
2024-01-31,A23-1196058,Upheld,Brooksdale Ltd,green,https://www.asa.org.uk/rulings/brooksdale-ltd-a23-1196058-brooksdale-ltd.html
2024-01-31,A23-1196059,Upheld,Reclaim My PPI Tax Ltd,green,https://www.asa.org.uk/rulings/reclaim-my-ppi-tax-ltd-a23-1196059-reclaim-my-ppi-tax-ltd.html
2024-01-31,A23-1192106,Upheld,Churchill Retirement Living Ltd,sustainable,https://www.asa.org.uk/rulings/churchill-retirement-living-ltd-a23-1192106-churchill-retirement-living-ltd.html
2024-01-24,A23-1211989,Upheld,May Health Tourism Services,climate,https://www.asa.org.uk/rulings/may-health-tourism-services-a23-1211989-may-health-tourism-services.html
2024-01-03,A23-1217474,Upheld,Buzz Group Ltd,climate,https://www.asa.org.uk/rulings/buzz-group-ltd-a23-1217474-buzz-group-ltd.html
2023-12-20,A23-1210029,Upheld,Charles Tyrwhitt Shirts Ltd,environmental,https://www.asa.org.uk/rulings/charles-tyrwhitt-shirts-ltd-a23-1210029-charles-tyrwhitt-shirts-ltd.html
2023-12-20,G23-1210353,Upheld,BrewDog plc,environmental,https://www.asa.org.uk/rulings/brewdog-plc-g23-1210353-brewdog-plc.html
2023-12-20,A23-1204534,Upheld,Equinor ASA,environmental,https://www.asa.org.uk/rulings/equinor-asa-a23-1204534-equinor-asa.html
2023-12-20,A23-1190884,Upheld,Kia UK Ltd,environmental,https://www.asa.org.uk/rulings/kia-uk-ltd-a23-1190884-kia-uk-ltd.html
2023-12-20,A19-549495,Upheld,GMG Pharmacy Ltd,green,https://www.asa.org.uk/rulings/gmg-pharmacy-ltd-a19-549495-gmg-pharmacy-ltd.html
2023-12-20,A19-549582,Upheld,Get A Drip Ltd,sustainable,https://www.asa.org.uk/rulings/get-a-drip-ltd-a19-549582-get-a-drip-ltd.html
2023-12-20,A19-562605,Upheld,REVIV UK Ltd,sustainable,https://www.asa.org.uk/rulings/reviv-uk-ltd-a19-562605-reviv-uk-ltd.html
2023-12-06,A23-1206008,Upheld,Etihad Airways,environmental,https://www.asa.org.uk/rulings/etihad-airways-a23-1206008-etihad-airways.html
2023-12-06,A23-1206006,Upheld,Air France-KLM,environmental,https://www.asa.org.uk/rulings/air-france-klm-a23-1206006-air-france-klm.html
2023-12-06,A23-1206007,Upheld,Deutsche Lufthansa AG,environmental,https://www.asa.org.uk/rulings/deutsche-lufthansa-ag-a23-1206007-deutsche-lufthansa-ag.html
2023-12-06,A23-1202342,Upheld,GetAgent Ltd,green,https://www.asa.org.uk/rulings/getagent-ltd-a23-1202342-getagent-ltd.html
2023-11-29,G23-1208624,Upheld,Imiracle (HK) Ltd,environmental,https://www.asa.org.uk/rulings/imiracle--hk--ltd-g23-1208624-imiracle--hk--ltd.html
2023-11-29,A23-1201059,Upheld,Renault UK Ltd,environmental,https://www.asa.org.uk/rulings/renault-uk-ltd-a23-1201059-renault-uk-ltd.html
2023-11-22,A23-1191673,Upheld,Toyota (GB) plc,environmental,https://www.asa.org.uk/rulings/toyota--gb--plc-a23-1191673-toyota--gb--plc.html
2023-11-22,A23-1196136,Upheld,Kollo Health Ltd,climate,https://www.asa.org.uk/rulings/kollo-health-ltd-a23-1196136-kollo-health-ltd.html
2023-11-15,G23-1187801,Upheld,Prism Marketing Group Ltd,green,https://www.asa.org.uk/rulings/prism-marketing-group-ltd-g23-1187801-prism-marketing-group-ltd.html
2023-11-15,G23-1210375,Upheld,Mecca Bingo Ltd,climate,https://www.asa.org.uk/rulings/mecca-bingo-ltd-g23-1210375-mecca-bingo-ltd.html
2023-11-08,A23-1199218,Upheld,NUMA Ltd,sustainable,https://www.asa.org.uk/rulings/numa-ltd-a23-1199218-numa-limited.html
2023-11-08,A23-1199222,Upheld,Indiralaxmi Vignesh Ltd,sustainable,https://www.asa.org.uk/rulings/indiralaxmi-vignesh-ltd-a23-1199222-indiralaxmi-vignesh-ltd.html
2023-10-18,A23-1206254,Upheld,Repsol SA,environmental,https://www.asa.org.uk/rulings/repsol-sa-a23-1206254-repsol-sa.html
2023-10-18,G23-1206694,Upheld,Nissan Motor (GB) Ltd,environmental,https://www.asa.org.uk/rulings/nissan-motor--gb--ltd-g23-1206694-nissan-motor--gb--ltd.html
2023-10-18,G23-1206049,Upheld,ThruDark Ltd,climate,https://www.asa.org.uk/rulings/thrudark-ltd-g23-1206049-thrudark-ltd.html
2023-09-27,A23-1198244,Upheld,MEP LLC,environmental,https://www.asa.org.uk/rulings/mep-llc-a23-1198244-mep-llc.html
2023-09-27,A23-1185794,Upheld,Hamilton Direct Ltd,environmental,https://www.asa.org.uk/rulings/hamilton-direct-ltd-a23-1185794-hamilton-direct-ltd.html
2023-09-20,G23-1185155,Upheld,Jaguar Land Rover Ltd,green,https://www.asa.org.uk/rulings/jaguar-land-rover-ltd-g23-1185155-jaguar-land-rover-ltd.html
2023-08-30,A23-1184018,Upheld,4AIR LLC,environmental,https://www.asa.org.uk/rulings/4air-llc-a23-1184018-4air-llc.html
2023-08-23,G23-1196052,Not upheld,People for the Ethical Treatment of Animals (PETA) Foundation,environmental,https://www.asa.org.uk/rulings/people-for-the-ethical-treatment-of-animals--peta--foundation-g23-1196052-people-for-the-ethical-treatment-of-animals--peta--foundation.html
2023-08-23,G22-1179655,Upheld,London Cask Co Ltd,sustainable,https://www.asa.org.uk/rulings/london-cask-co-ltd-g22-1179655-london-cask-co-ltd.html
2023-08-23,A23-1199187,Upheld,AB InBev UK Ltd,climate,https://www.asa.org.uk/rulings/ab-inbev-uk-ltd-a23-1199187-ab-inbev-uk-ltd.html
2023-08-16,A23-1189958,Upheld,Hillside (UK Sports) ENC,green,https://www.asa.org.uk/rulings/hillside--uk-sports--enc-a23-1189958-hillside--uk-sports--enc.html
2023-08-16,A23-1188800,Upheld,One Source Digital Ltd,green,https://www.asa.org.uk/rulings/one-source-digital-ltd-a23-1188800-one-source-digital-ltd.html
2023-08-16,A23-1190482,Upheld,6G Internet Ltd,green,https://www.asa.org.uk/rulings/6g-internet-ltd-a23-1190482-6g-internet-ltd.html
2023-08-16,A23-1198593,Not upheld,Diageo Great Britain Ltd,green,https://www.asa.org.uk/rulings/diageo-great-britain-ltd-a23-1198593-diageo-great-britain-ltd.html
2023-08-16,G23-1196852,Not upheld,Whyte and Mackay Ltd,climate,https://www.asa.org.uk/rulings/whyte-and-mackay-ltd-g23-1196852-whyte-and-mackay-ltd.html
2023-08-16,A23-1199859,Upheld,Sisters & Seekers Ltd,climate,https://www.asa.org.uk/rulings/sisters---seekers-ltd-a23-1199859-sisters--seekers-ltd.html
2023-08-09,A23-1189959,Upheld,LC International Ltd,climate,https://www.asa.org.uk/rulings/lc-international-ltd-a23-1189959-lc-international-ltd.html
2023-07-12,A23-1194875,Upheld,BMW (UK) Ltd,climate,https://www.asa.org.uk/rulings/bmw--uk--ltd-a23-1194875-bmw--uk--ltd.html
2023-07-12,A23-1189955,Upheld,LC International Ltd,climate,https://www.asa.org.uk/rulings/lc-international-ltd-a23-1189955-lc-international-ltd.html
2023-06-28,A22-1172987,Upheld,Fortress Energy Solutions Ltd,carbon,https://www.asa.org.uk/rulings/fortress-energy-solutions-ltd-a22-1172987-fortress-energy-solutions-ltd.html
2023-06-28,G22-1147624,Upheld,Hyundai Motor UK Ltd,climate,https://www.asa.org.uk/rulings/hyundai-motor-uk-ltd-g22-1147624-hyundai-motor-uk-ltd.html
2023-06-28,A22-1146122,Upheld,Toyota (GB) plc,climate,https://www.asa.org.uk/rulings/toyota--gb--plc-a22-1146122-toyota--gb--plc.html
2023-06-21,G23-1188044,Upheld,John Mills Ltd,green,https://www.asa.org.uk/rulings/john-mills-ltd-g23-1188044-john-mills-ltd.html
2023-06-14,G22-1171967,Upheld,Anglian Water Services Ltd,environmental,https://www.asa.org.uk/rulings/anglian-water-services-ltd-g22-1171967-anglian-water-services-ltd.html
2023-06-14,G23-1194336,Not upheld,Severn Trent Water Ltd,environmental,https://www.asa.org.uk/rulings/severn-trent-water-ltd-g23-1194336-severn-trent-water-ltd.html
2023-06-07,A22-1169312,Upheld,Petroliam Nasional Berhad,environmental,https://www.asa.org.uk/rulings/petroliam-nasional-berhad-a22-1169312-petroliam-nasional-berhad.html
2023-06-07,G22-1170842,Upheld,Shell UK Ltd,environmental,https://www.asa.org.uk/rulings/shell-uk-ltd-g22-1170842-shell-uk-ltd.html
2023-06-07,A23-1185942,Upheld,Repsol SA,environmental,https://www.asa.org.uk/rulings/repsol-sa-a23-1185942-repsol-sa.html
2023-06-07,A23-1190963,Upheld,Novielo London,green,https://www.asa.org.uk/rulings/novielo-london-a23-1190963-novielo-london.html
2023-05-31,A22-1173927,Upheld,Intrepid Travel Group UK Ltd,environmental,https://www.asa.org.uk/rulings/intrepid-travel-group-uk-ltd-a22-1173927-intrepid-travel-group-uk-ltd.html
2023-05-31,A22-1179810,Upheld,Litty Liquor,climate,https://www.asa.org.uk/rulings/litty-liquor-a22-1179810-litty-liquor.html
2023-05-17,A22-1178272,Upheld,Wild Cosmetics Ltd,environmental,https://www.asa.org.uk/rulings/wild-cosmetics-ltd-a22-1178272-wild-cosmetics-ltd.html
2023-05-10,A22-1162007,Upheld,Green Fun Alliance Ltd,green,https://www.asa.org.uk/rulings/green-fun-alliance-ltd-a22-1162007-green-fun-alliance-ltd.html
2023-04-19,A23-1181155,Upheld,Roofsure Ltd,carbon,https://www.asa.org.uk/rulings/roofsure-ltd-a23-1181155-roofsure-ltd---unconfirmed.html
2023-04-19,A23-1185268,Upheld,Balmer Lawn Garage Ltd,climate,https://www.asa.org.uk/rulings/balmer-lawn-garage-ltd-a23-1185268-balmer-lawn-garage-ltd.html
2023-04-19,A23-1183713,Upheld,BV Gaming Ltd,climate,https://www.asa.org.uk/rulings/bv-gaming-ltd-a23-1183713-bv-gaming-ltd.html
2023-04-12,A22-1174208,Upheld,Etihad Airways,environmental,https://www.asa.org.uk/rulings/etihad-airways-a22-1174208-etihad-airways.html
2023-03-01,A22-1169419,Upheld,Deutsche Lufthansa AG,environmental,https://www.asa.org.uk/rulings/deutsche-lufthansa-ag-a22-1169419-deutsche-lufthansa-ag.html
2023-02-08,G22-1176149,Upheld,PPB Counterparty Services Ltd,climate,https://www.asa.org.uk/rulings/ppb-counterparty-services-ltd-g22-1176149-ppb-counterparty-services-ltd.html
2023-02-01,A22-1168734,Upheld,Not Guilty Food Co Ltd,green,https://www.asa.org.uk/rulings/not-guilty-food-co-ltd-a22-1168734-not-guilty-food-co-ltd.html
2023-02-01,A22-1174145,Upheld,Brightika Inc,green,https://www.asa.org.uk/rulings/brightika-inc-a22-1174145-brightika-inc.html
2023-01-18,A22-1168379,Upheld,Surfshark B.V.,sustainable,https://www.asa.org.uk/rulings/surfshark-b-v--a22-1168379-surfshark-b-v-.html
2022-12-21,A22-1171467,Upheld,LC International Ltd,climate,https://www.asa.org.uk/rulings/lc-international-ltd.html
2022-11-23,G22-1169434,Upheld,Vodafone Ltd,green,https://www.asa.org.uk/rulings/vodafone-ltd-g22-1169434-vodafone-ltd.html
2022-11-09,A22-1156075,Upheld,Perfectly Green Ltd,environmental,https://www.asa.org.uk/rulings/perfectly-green-ltd-a22-1156075-perfectly-green-ltd.html
2022-11-02,G22-1161146,Upheld,THE PACK PET Limited,environmental,https://www.asa.org.uk/rulings/the-pack-pet-limited-g22-1161146-the-pack-pet-limited.html
2022-10-26,G22-1154356,Upheld,Bambooi Sustainable Enterprises Ltd,environmental,https://www.asa.org.uk/rulings/bambooi-sustainable-enterprises-ltd-g22-1154356-bambooi-sustainable-enterprises-ltd.html
2022-10-19,G21-1127656,Upheld,HSBC UK Bank plc,environmental,https://www.asa.org.uk/rulings/hsbc-uk-bank-plc-g21-1127656-hsbc-uk-bank-plc.html
2022-10-19,A21-1116986,Upheld,Q River Ltd,environmental,https://www.asa.org.uk/rulings/q-river-ltd-a21-1116986-q-river-ltd.html
2022-09-21,A22-1158770,Upheld,Ian Macleod Distillers Ltd,climate,https://www.asa.org.uk/rulings/ian-macleod-distillers-ltd-a22-1158770-ian-macleod-distillers-ltd.html
2022-08-31,A22-1150985,Upheld,Unilever UK Ltd,environmental,https://www.asa.org.uk/rulings/unilever-uk-ltd-a22-1150985-unilever-uk-ltd.html
2022-08-31,A22-1149847,Upheld,Centre For Medical Sciences & Research Ltd,climate,https://www.asa.org.uk/rulings/centre-for-medical-sciences---research-ltd-a22-1149847-centre-for-medical-sciences--research-ltd.html
2022-08-24,G22-1154984,Upheld,Toyota (GB) plc,green,https://www.asa.org.uk/rulings/toyota--gb--plc-g22-1154984-toyota--gb--plc.html
2022-08-03,A21-1128535,Upheld,Golden Leaves Ltd,environmental,https://www.asa.org.uk/rulings/golden-leaves-ltd-a21-1128535-golden-leaves-ltd.html
2022-08-03,A21-1114723,Upheld,JC Atkinson & Son Ltd,environmental,https://www.asa.org.uk/rulings/jc-atkinson---son-ltd-a21-1114723-jc-atkinson--son-ltd.html
2022-08-03,A21-1136252,Upheld,FlexFuel-Energy Development,carbon,https://www.asa.org.uk/rulings/flexfuel-energy-development-a21-1136252-flexfuel-energy-development.html
2022-07-20,G22-1152938,Upheld,Samsung Electronics (UK) Ltd,climate,https://www.asa.org.uk/rulings/samsung-electronics--uk--ltd-g22-1152938-samsung-electronics--uk--ltd.html
2022-07-06,G22-1146766,,Served Drinks Ltd,environmental,https://www.asa.org.uk/rulings/served-drinks-ltd-g22-1146766-served-drinks-ltd.html
2022-06-15,G22-1151155,Upheld,PPB Counterparty Services Ltd,green,https://www.asa.org.uk/rulings/ppb-counterparty-services-ltd-g22-1151155-ppb-counterparty-services-ltd.html
2022-06-08,G21-1128264,Upheld,Tesco Stores Ltd,environmental,https://www.asa.org.uk/rulings/tesco-stores-ltd-g21-1128264-tesco-stores-ltd.html
2022-06-08,G21-1126780,Not upheld,J Sainsbury plc,environmental,https://www.asa.org.uk/rulings/j-sainsbury-plc-g21-1126780-j-sainsbury-plc.html
2022-06-08,G22-1146515,Upheld,Evergreens (UK) Ltd,environmental,https://www.asa.org.uk/rulings/evergreens--uk--ltd-g22-1146515-evergreens--uk--ltd.html
2022-06-08,G22-1148327,Not upheld,Vegan Friendly UK,environmental,https://www.asa.org.uk/rulings/vegan-friendly-uk-g22-1148327-vegan-friendly-uk.html
2022-06-01,A21-1138301,Upheld,Verisure Services (UK) Ltd,green,https://www.asa.org.uk/rulings/verisure-services--uk--ltd-a21-1138301-verisure-services--uk--ltd.html
2022-05-25,A21-1101101,Upheld,Magnatech Technology Ltd,environmental,https://www.asa.org.uk/rulings/magnatech-technology-ltd-a21-1101101-magnatech-technology-ltd-1.html
2022-05-18,A22-1143767,Upheld,Liquid Lipo Ltd,carbon,https://www.asa.org.uk/rulings/liquid-lipo-ltd-a22-1143767-liquid-lipo-ltd.html
2022-05-11,G21-1129380,Upheld,ARSJ Holding Ltd,sustainable,https://www.asa.org.uk/rulings/arsj-holding-ltd-g21-1129380-arsj-holding-ltd.html
2022-05-04,A22-1140643,Upheld,Oneade,green,https://www.asa.org.uk/rulings/oneade-a22-1140643-oneade.html
2022-04-06,A21-1118832,Upheld,TIER Operations Ltd,environmental,https://www.asa.org.uk/rulings/tier-operations-ltd-a21-1118832-tier-operations-ltd.html
2022-03-30,A21-1121388,Upheld,John Mills Ltd,green,https://www.asa.org.uk/rulings/john-mills-ltd-a21-1121388-john-mills-ltd.html
2022-02-23,G21-1111827,Upheld,Innocent Ltd,environmental,https://www.asa.org.uk/rulings/innocent-ltd-g21-1111827-innocent-ltd.html
2022-01-26,G21-1096286,Upheld,Oatly UK Ltd,environmental,https://www.asa.org.uk/rulings/oatly-uk-ltd-g21-1096286-oatly-uk-ltd.html
2022-01-19,G21-1120958,,Roxane UK Ltd,environmental,https://www.asa.org.uk/rulings/roxane-uk-ltd-g21-1120958-roxane-uk-ltd.html
2022-01-19,A21-1120048,Upheld,Pepsi Lipton International,environmental,https://www.asa.org.uk/rulings/pepsi-lipton-international-a21-1120048-pepsi-lipton-international.html
2022-01-19,A21-1122322,Upheld,Rental Republic Ltd,green,https://www.asa.org.uk/rulings/rental-republic-ltd-a21-1122322-rental-republic-ltd.html
2022-01-19,G21-1120905,Upheld,Mondelez UK Ltd,climate,https://www.asa.org.uk/rulings/mondelez-uk-ltd-g21-1120905-mondelez-uk-ltd.html
2021-12-22,A21-1122417,Upheld,Schuh Ltd,green,https://www.asa.org.uk/rulings/schuh-ltd-a21-1122417-schuh-ltd.html
2021-12-22,A21-1121236,Not upheld,Popsoda Ltd,green,https://www.asa.org.uk/rulings/popsoda-ltd-a21-1121236-popsoda-ltd.html
2021-12-22,A21-1125323,Upheld,H&M Hennes & Mauritz UK Ltd,green,https://www.asa.org.uk/rulings/h-m-hennes---mauritz-uk-ltd-a21-1125323-hm-hennes--mauritz-uk-ltd.html
2021-12-22,A21-1109653,Upheld,British Telecommunications plc,sustainable,https://www.asa.org.uk/rulings/british-telecommunications-plc-a21-1109653-british-telecommunications-plc.html
2021-11-24,A21-1104782,Upheld,Class Delta Ltd,environmental,https://www.asa.org.uk/rulings/class-delta-ltd-a21-1104782-class-delta-ltd.html
2021-11-24,G21-1113128,Not upheld,Green Flag Ltd,green,https://www.asa.org.uk/rulings/green-flag-ltd-g21-1113128-green-flag-ltd.html
2021-11-24,G21-1116797,Upheld,Jaguar Land Rover Ltd,carbon,https://www.asa.org.uk/rulings/jaguar-land-rover-ltd-g21-1116797-jaguar-land-rover-ltd.html
2021-11-17,G21-1121641,Upheld,Motorway Online Ltd,climate,https://www.asa.org.uk/rulings/motorway-online-ltd-g21-1121641-motorway-online-ltd.html
2021-11-03,G21-1102557,Upheld,Open Media Group Ltd,green,https://www.asa.org.uk/rulings/open-media-group-ltd-g21-1102557-open-media-group-ltd.html
2021-10-20,A20-1081249,Upheld,Alpro (UK) Ltd,environmental,https://www.asa.org.uk/rulings/alpro--uk--ltd-a20-1081249-alpro--uk--ltd.html
2021-10-13,A20-1085246,Upheld,Copper Clothing Ltd,climate,https://www.asa.org.uk/rulings/copper-clothing-ltd-a20-1085246-copper-clothing-ltd.html
2021-10-06,A21-1102851,Upheld,Kinetique Ltd,environmental,https://www.asa.org.uk/rulings/kinetique-ltd-a21-1102851-kinetique-ltd.html
2021-10-06,G21-1111153,Not upheld,salesforce UK Ltd,climate,https://www.asa.org.uk/rulings/salesforce-uk-ltd-g21-1111153-salesforce-uk-ltd.html
2021-09-29,A21-1102344,Upheld,PBO Skincare Ltd,sustainable,https://www.asa.org.uk/rulings/pbo-skincare-ltd-a21-1102344-pbo-skincare-ltd.html
2021-09-29,G21-1102554,Upheld,TalkTalk Telecom Ltd,climate,https://www.asa.org.uk/rulings/talktalk-telecom-ltd-g21-1102554-talktalk-telecom-ltd.html
2021-08-18,A21-1106307,Not upheld,Lucozade Ribena Suntory Ltd,environmental,https://www.asa.org.uk/rulings/lucozade-ribena-suntory-ltd-a21-1106307-lucozade-ribena-suntory-ltd.html
2021-08-18,G21-1092229,Upheld,Agriculture and Horticulture Development Board,environmental,https://www.asa.org.uk/rulings/agriculture-and-horticulture-development-board-g21-1092229-agriculture-and-horticulture-development-board.html
2021-08-18,A20-1085398,Upheld,Maple Syrup Media Ltd,green,https://www.asa.org.uk/rulings/maple-syrup-media-ltd-a20-1085398-maple-syrup-media-ltd.html
2021-08-11,G21-1102790,Not upheld,Noble Foods Ltd,environmental,https://www.asa.org.uk/rulings/noble-foods-ltd-g21-1102790-noble-foods-ltd.html
2021-08-04,A20-1080885,Upheld,John Mills Ltd,sustainable,https://www.asa.org.uk/rulings/john-mills-ltd-a20-1080885-john-mills-ltd.html
2021-08-04,G21-1108657,Upheld,Turner Broadcasting System Europe Ltd,climate,https://www.asa.org.uk/rulings/turner-broadcasting-system-europe-ltd-g21-1108657-turner-broadcasting-system-europe-ltd.html
2021-07-21,A21-1105988,Upheld,Cignpost Diagnostics Ltd,green,https://www.asa.org.uk/rulings/cignpost-diagnostics-ltd-a21-1105988-cignpost-diagnostics-ltd.html
2021-07-07,G21-1112564,Upheld,Pruvit Ventures Inc,sustainable,https://www.asa.org.uk/rulings/pruvit-ventures-inc-g21-1112564-pruvit-ventures-inc.html
